name,município,data_avist,estado,latitude,longitude,data_revis,status
Praia de Búzios,Nísia Floresta,2019-09-11,RN,-6.01659166666667,-35.108725,2019-11-01,Oleada - Vestígios/Esparsos
Barreira do Inferno,Parnamirim,2019-09-11,RN,-5.93581388888889,-35.1548138888889,2019-09-23,Óleo - Não Observado
Cotolelo,Parnamirim,2019-09-11,RN,-5.96285555555556,-35.1463388888889,2019-10-28,Oleada - Vestígios/Esparsos
Pirangi do Norte,Parnamirim,2019-09-11,RN,-5.97196111111111,-35.1258277777778,2019-11-01,Oleada - Vestígios/Esparsos
Praia de Zumbi,Rio do Fogo,2019-09-11,RN,-5.31956111111111,-35.3620916666667,2019-11-02,Óleo - Não Observado
Rio Punaú,Rio do Fogo,2019-09-11,RN,-5.35016666666667,-35.3568333333333,2019-10-09,Oleada - Vestígios/Esparsos
Lagoa Guaraíras,Senador Georgino Avelino,2019-10-30,RN,-6.1826,-35.0954,NA,Óleo - Não Observado
Praia do Gado Bravo,Tibau,2019-10-25,RN,-4.87631944444444,-37.2262611111111,2019-10-29,Oleada - Vestígios/Esparsos
Pipa,Tibau do Sul,2019-09-10,RN,-6.22791388888889,-35.0475944444444,2019-10-28,Óleo - Não Observado
Pirambu,Tibau do Sul,2019-09-10,RN,-6.18745,-35.0850666666667,2019-10-02,Oleada - Vestígios/Esparsos
Praia de Cacimbinhas,Tibau do Sul,2019-10-24,RN,-6.20083055555556,-35.0819305555556,2019-10-28,Oleada - Vestígios/Esparsos
Praia do Amor,Tibau do Sul,2019-09-10,RN,-6.23059444444444,-35.0421555555556,2019-10-27,Oleada - Vestígios/Esparsos
Praia do Giz,Tibau do Sul,2019-09-10,RN,-6.18230833333333,-35.0895277777778,2019-10-30,Oleada - Vestígios/Esparsos
Praia do Madeiro,Tibau do Sul,2019-10-28,RN,-6.22225277777778,-35.0683388888889,NA,Oleada - Vestígios/Esparsos
Sibaúma/Das Minas,Tibau do Sul,2019-09-11,RN,-6.26569444444444,-35.0382555555556,2019-10-28,Oleada - Vestígios/Esparsos
Perobas,Touros,2019-09-11,RN,-5.25136666666667,-35.3930972222222,2019-10-29,Oleada - Vestígios/Esparsos
Praia Carnaubinhas,Touros,2019-10-21,RN,-5.20183888888889,-35.4517888888889,2019-10-27,Óleo - Não Observado
Praia de Touros,Touros,2019-09-14,RN,-5.18954444444444,-35.4636638888889,2019-11-02,Óleo - Não Observado
Praia do Calcanhar,Touros,2019-09-14,RN,-5.16078055555556,-35.4858,2019-10-27,Óleo - Não Observado
