geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,latitude,longitude
2803203,Praia Caueira,2803203_9,Itaporanga D'ajuda,Sergipe,SE,2019-11-07,2019-11-21,Oleo Nao Observado,-11.2135416666667,-37.19855
2607208,Suape,2607208_7,Ipojuca,Pernambuco,PE,2019-09-02,2019-11-03,Oleada - Vestigios / Esparsos,-8.36040555555556,-34.9586555555556
2925501,Praia da Amendoeira,2925501_63,Prado,Bahia,BA,2019-11-09,2019-11-09,Oleada - Vestigios / Esparsos,-17.2719194444444,-39.2194861111111
2800308,Atalaia,2800308_9,Aracaju,Sergipe,SE,2019-10-02,2019-11-20,Oleada - Vestigios / Esparsos,-10.9821888888889,-37.0372666666667
2607208,Praia de Muro Alto,2607208_8,Ipojuca,Pernambuco,PE,2019-10-25,2019-11-16,Oleo Nao Observado,-8.41820138888889,-34.9718111111111
2925501,Praia do Centro,2925501_68,Prado,Bahia,BA,2019-11-06,2019-11-13,Oleo Nao Observado,-17.3174988888889,-39.2199833333333
2925501,Praia do Centro,2925501_69,Prado,Bahia,BA,2019-11-14,2019-11-14,Oleada - Vestigios / Esparsos,-17.3260361111111,-39.2192277777778
2110278,Praia dos Lençóis Maranhenses,2110278_27,Santo Amaro do Maranhão,Maranhão,MA,2019-11-06,2019-11-12,Oleada - Vestigios / Esparsos,-2.40227166666667,-43.1435333333333
3203205,Praia do Pontal do Ipiranga,3203205_10,Linhares,Espírito Santo,ES,2019-11-15,2019-11-19,Oleada - Vestigios / Esparsos,-19.2173930555556,-39.7027777777778
2913606,Praia de Cururupe,2913606_64,Ilhéus,Bahia,BA,2019-11-08,2019-11-17,Oleada - Vestigios / Esparsos,-14.91874,-39.0199472222222
2905404,Morro de São Paulo (terceira praia),2905404_1,Cairu,Bahia,BA,2019-11-18,2019-11-18,Oleo Nao Observado,-13.38315,-38.9072555555556
2913606,Praia dos Milionários,2913606_61,Ilhéus,Bahia,BA,2019-11-20,2019-11-20,Oleada - Vestigios / Esparsos,-14.8678897222222,-39.0238361111111
2800605,Praia de Jatobá,2800605_15,Barra dos Coqueiros,Sergipe,SE,2019-11-12,2019-11-18,Oleada - Vestigios / Esparsos,-10.8180963888889,-36.9248666666667
2913606,Praia de Cururupe,2913606_62,Ilhéus,Bahia,BA,2019-10-27,2019-11-17,Oleo Nao Observado,-14.8914694444444,-39.0232805555556
2905404,Praia do Pontal,2905404_4,Cairu,Bahia,BA,2019-10-27,2019-11-15,Oleo Nao Observado,-13.5779888888889,-38.9282027777778
2905404,Praia de Cueira,2905404_5,Cairu,Bahia,BA,2019-10-28,2019-11-10,Oleo Nao Observado,-13.5952277777778,-38.9080277777778
2905404,Quarta Praia,2905404_2,Cairu,Bahia,BA,2019-11-03,2019-11-17,Oleada - Vestigios / Esparsos,-13.3949861111111,-38.9071194444444
3203205,Praia do Degredo,3203205_19,Linhares,Espírito Santo,ES,2019-11-18,2019-11-19,Oleada - Vestigios / Esparsos,-19.3003377777778,-39.6893833333333
