name,município,data_avist,estado,data_revis,status,geocodigo,latitude,longitude
Mangue da Foz do Rio Coruripe,Coruripe,2019-10-29,AL,NA,Oleada - Vestígios/Esparsos,2702306,-10.1590222222222,-36.1555111111111
Lagoa Azeda,Jequiá da Praia,2019-10-22,AL,2019-11-06,Oleada - Vestígios/Esparsos,2703759,-9.97488055555556,-35.9815666666667
Praia do Francês,Marechal Deodoro,2019-09-18,AL,2019-10-27,Óleo - Não Observado,2704708,-9.76736666666667,-35.8366527777778
Lot. Encontro do Mar,Marechal Deodoro,2019-09-21,AL,2019-10-27,Óleo - Não Observado,2704708,-9.78758611111111,-35.8543944444444
Praia Angra de Ipioca,Maceió,2019-11-05,AL,2019-11-05,Oleada - Vestígios/Esparsos,2704302,-9.49916666666667,-35.5745805555556
Pajuçara/Ponta Verde,Maceió,2019-09-15,AL,2019-11-01,Óleo - Não Observado,2704302,-9.66488888888889,-35.7034194444444
Praia de Guaxuma,Maceió,2019-10-25,AL,NA,Oleada - Vestígios/Esparsos,2704302,-9.59307777777778,-35.6685083333333
Ipioca,Maceió,2019-09-17,AL,2019-11-01,Óleo - Não Observado,2704302,-9.548025,-35.617275
Barra do Rio Santo Antônio,Barra de Santo Antônio,2019-10-13,AL,2019-10-24,Óleo - Não Observado,2700508,-9.41111388888889,-35.4969361111111
Barra do Santo Antônio,Barra de Santo Antônio,2019-10-13,AL,2019-10-15,Oleada - Manchas,2700508,-9.42813888888889,-35.5064583333333
Ilha da Croa,Barra de Santo Antônio,2019-10-13,AL,2019-10-30,Oleada - Vestígios/Esparsos,2700508,-9.38448611111111,-35.4924027777778
Praia do Barramar,Barra de São Miguel,2019-11-06,AL,2019-11-06,Oleada - Vestígios/Esparsos,2700607,-9.81786666666667,-35.8742861111111
Praia Bonita,Barra de São Miguel,2019-10-21,AL,2019-11-06,Oleada - Vestígios/Esparsos,2700607,-9.84443611111111,-35.8957083333333
Barra de São Miguel,Barra de São Miguel,2019-09-19,AL,2019-10-27,Oleada - Vestígios/Esparsos,2700607,-9.825675,-35.8789222222222
Praia de Lages,Porto de Pedras,2019-11-01,AL,2019-11-02,Óleo - Não Observado,2707404,-9.19633611111111,-35.3131444444444
Foz do rio Tatuamunha,Porto de Pedras,2019-10-22,AL,NA,Oleada - Vestígios/Esparsos,2707404,-9.22494166666667,-35.3321861111111
Praia do Boqueirão,Japaratinga,2019-11-05,AL,2019-11-05,Oleada - Vestígios/Esparsos,2703601,-9.13232777777778,-35.2842222222222
Barreira do Boqueirão,Japaratinga,2019-10-14,AL,2019-11-06,Óleo - Não Observado,2703601,-9.12599722222222,-35.279125
Praia de Bitingui,Japaratinga,2019-11-06,AL,2019-11-06,Oleada - Manchas,2703601,-9.12283888888889,-35.2711166666667
Praia do Pontal do Boqueirão,Japaratinga,2019-10-28,AL,2019-11-06,Oleada - Manchas,2703601,-9.14114722222222,-35.2867722222222
Praia de Japaratinga,Japaratinga,2019-11-03,AL,2019-11-03,Oleada - Vestígios/Esparsos,2703601,-9.09034166666667,-35.2570888888889
Foz do Rio Manguba,Japaratinga,2019-10-21,AL,2019-11-01,Oleada - Vestígios/Esparsos,2703601,-9.15630833333333,-35.2893
Praia de Japaratinga,Japaratinga,2019-10-16,AL,2019-11-03,Oleada - Vestígios/Esparsos,2703601,-9.08412777777778,-35.2510027777778
Praia de Bitingui,Japaratinga,2019-10-28,AL,2019-11-03,Oleada - Vestígios/Esparsos,2703601,-9.10723888888889,-35.2630833333333
Rio Persinunga,Maragogi,2019-10-29,AL,2019-11-05,Oleada - Vestígios/Esparsos,2704500,-8.90972222222222,-35.1518027777778
Barra Grande (norte),Maragogi,2019-10-16,AL,2019-11-06,Óleo - Não Observado,2704500,-8.91811666666667,-35.1537416666667
Praia de Peroba,Maragogi,2019-11-06,AL,2019-11-06,Oleada - Vestígios/Esparsos,2704500,-8.92545833333333,-35.1589305555556
Praia de Burgalhau,Maragogi,2019-10-21,AL,2019-11-06,Óleo - Não Observado,2704500,-8.99903333333333,-35.2072527777778
Praia de Maragogi,Maragogi,2019-11-01,AL,2019-11-06,Oleada - Vestígios/Esparsos,2704500,-9.00558055555556,-35.2137222222222
Manguezal do rio Maragogi,Maragogi,2019-11-01,AL,NA,Óleo - Não Observado,2704500,-9.02726944444444,-35.2257777777778
Praia de Peroba,Maragogi,2019-11-03,AL,2019-11-03,Oleada - Vestígios/Esparsos,2704500,-8.94941388888889,-35.1708944444444
Centro,Maragogi,2019-10-21,AL,2019-11-01,Oleada - Vestígios/Esparsos,2704500,-9.01256666666667,-35.2196333333333
