name,município,data_avist,estado,latitude,longitude,data_revis,status,geocodigo
Praia de Tabatinga,Conde,2019-10-23,Paraíba,-7.31353888888889,-34.802025,2019-11-06,Óleo - Não Observado,2504603
Praia de Jacumã,Conde,2019-08-30,Paraíba,-7.28023611111111,-34.7992055555556,2019-11-07,Óleo - Não Observado,2504603
Praia do Amor,Conde,2019-09-30,Paraíba,-7.27155833333333,-34.8023194444444,2019-11-05,Óleo - Não Observado,2504603
Praia do Cabo Branco,João Pessoa,2019-09-01,Paraíba,-7.14256111111111,-34.8137333333333,2019-11-03,Óleo - Não Observado,2507507
Praia do Bessa,João Pessoa,2019-11-06,Paraíba,-7.07046944444444,-34.8344138888889,2019-11-06,Oleada - Vestígios/Esparsos,2507507
Praia de Tambaú,João Pessoa,2019-09-01,Paraíba,-7.11035277777778,-34.8232444444444,2019-11-03,Óleo - Não Observado,2507507
Lagoa de Praia,Rio Tinto,2019-09-07,Paraíba,-6.80958055555556,-34.9146833333333,2019-11-08,Óleo - Não Observado,2512903
Praia de Campina,Rio Tinto,2019-09-07,Paraíba,-6.81674166666667,-34.9137666666667,2019-10-31,Óleo - Não Observado,2512903
Oiteiro,Rio Tinto,2019-09-07,Paraíba,-6.83430555555556,-34.9109055555556,2019-10-04,Óleo - Não Observado,2512903
Barra do rio Camaratuba,Mataraca,2019-09-07,Paraíba,-6.594975,-34.9659916666667,2019-10-31,Óleo - Não Observado,2509305
Praia Bela,Pitimbu,2019-08-30,Paraíba,-7.39643055555556,-34.8044083333333,2019-11-08,Óleo - Não Observado,2511905
Praia do Poço,Cabedelo,2019-09-01,Paraíba,-7.02218055555556,-34.8296222222222,2019-10-03,Óleo - Não Observado,2503209
Praia de Camboinha,Cabedelo,2019-09-01,Paraíba,-7.00517222222222,-34.8256916666667,2019-10-01,Óleo - Não Observado,2503209
Praia de Intermares,Cabedelo,2019-09-01,Paraíba,-7.04602222222222,-34.8408,2019-11-03,Óleo - Não Observado,2503209
Canoa Quebrada,Aracati,2019-10-23,Ceará,-4.51880277777778,-37.7085083333333,2019-11-08,Óleo - Não Observado,2301109
Praia da Majorlândia,Aracati,2019-10-24,Ceará,-4.55555555555556,-37.6688694444444,2019-11-08,Óleo - Não Observado,2301109
Quixaba,Aracati,2019-10-14,Ceará,-4.56843055555556,-37.6574083333333,2019-11-08,Óleo - Não Observado,2301109
Pontal de Maceió,Aracati,2019-09-28,Ceará,-4.42271944444444,-37.7655111111111,2019-11-08,Óleo - Não Observado,2301109
Cumbe,Aracati,2019-10-26,Ceará,-4.46678333333333,-37.7448444444444,2019-11-08,Óleo - Não Observado,2301109
Praia da Barra de Sucatinga,Beberibe,2019-11-05,Ceará,-4.22251944444444,-38.0382444444444,2019-11-08,Óleo - Não Observado,2302206
Barra de Sucatinga,Beberibe,2019-09-08,Ceará,-4.25275833333333,-38.0043055555556,2019-11-08,Óleo - Não Observado,2302206
Barra do Rio Pirangi,Beberibe,2019-11-04,Ceará,-4.37634444444444,-37.8564305555556,2019-11-08,Óleo - Não Observado,2302206
Morro Branco,Beberibe,2019-09-07,Ceará,-4.15488333333333,-38.1062583333333,2019-11-06,Oleada - Vestígios/Esparsos,2302206
Praia do Diogo,Beberibe,2019-11-05,Ceará,-4.19851111111111,-38.0612361111111,2019-11-05,Oleada - Vestígios/Esparsos,2302206
Praia da Barra Nova,Cascavel,2019-10-25,Ceará,-4.09345,-38.1547,2019-11-01,Óleo - Não Observado,2303501
Caponga,Cascavel,2019-10-14,Ceará,-4.03724166666667,-38.1999388888889,2019-11-04,Óleo - Não Observado,2303501
Praia de Morro Branco,Fortaleza,2019-11-06,Ceará,-3.71870555555556,-38.5243277777778,2019-11-06,Oleada - Vestígios/Esparsos,2304400
Praia de Sabiaguaba,Fortaleza,2019-09-26,Ceará,-3.80233611111111,-38.4140527777778,2019-11-04,Óleo - Não Observado,2304400
Praia de Quitérias,Icapuí,2019-11-01,Ceará,-4.74721666666667,-37.2852444444444,2019-11-07,Óleo - Não Observado,2305357
Praia de Barreiras,Icapuí,2019-10-21,Ceará,-4.67662777777778,-37.3990694444444,2019-11-03,Óleo - Não Observado,2305357
Praia de Cumbuco,Caucaia,2019-11-05,Ceará,-3.613525,-38.7535305555556,2019-11-05,Oleada - Manchas,2303709
Praia de Taíba,São Gonçalo do Amarante,2019-09-23,Ceará,-3.51295555555556,-38.8830472222222,2019-10-18,Óleo - Não Observado,2312403
Paracuru,Paracuru,2019-09-23,Ceará,-3.40395833333333,-39.0212333333333,2019-10-18,Oleada - Vestígios/Esparsos,2310209
Praia de Almofala,Itarema,2019-11-05,Ceará,-2.92842222222222,-39.8263222222222,2019-11-06,Óleo - Não Observado,2306553
Praia da Lama,Barroquinha,2019-09-28,Ceará,-2.93809722222222,-41.3191472222222,2019-10-24,Óleo - Não Observado,2302057
Malhada,Jijoca de Jericoacoara,2019-09-26,Ceará,-2.79075833333333,-40.5186194444444,2019-10-03,Óleo - Não Observado,2307254
Araripe,Santa Cruz Cabrália,2019-11-01,Bahia,-16.1742527777778,-38.9591694444444,2019-11-02,Oleada - Vestígios/Esparsos,2927705
Baixio,Esplanada,2019-10-07,Bahia,-12.1316,-37.7054194444444,2019-10-26,Oleada - Vestígios/Esparsos,2910602
Mamucabo,Esplanada,2019-10-07,Bahia,-12.1709805555556,-37.7290583333333,2019-10-31,Oleada - Vestígios/Esparsos,2910602
Costa Azul,Jandaíra,2019-10-14,Bahia,-11.6783611111111,-37.4800972222222,NA,Oleada - Vestígios/Esparsos,2917904
Rio Pojuca,Mata de São João,2019-10-13,Bahia,-12.5973555555556,-38.0306444444444,2019-11-08,Óleo - Não Observado,2921005
Praia do Forte,Mata de São João,2019-10-08,Bahia,-12.5710444444444,-37.9974305555556,2019-11-03,Óleo - Não Observado,2921005
Imbassaí,Mata de São João,2019-10-10,Bahia,-12.4990361111111,-37.9592388888889,2019-10-31,Oleada - Vestígios/Esparsos,2921005
Praia de Massarandupio,Entre Rios,2019-10-11,Bahia,-12.312675,-37.8279833333333,2019-10-29,Oleada - Vestígios/Esparsos,2910503
Foz do Rio Subauma,Entre Rios,2019-10-07,Bahia,-12.2261888888889,-37.7624444444444,2019-10-31,Oleada - Vestígios/Esparsos,2910503
Praia do Taipe (Praia do Rio da Barra),Porto Seguro,2019-11-02,Bahia,-16.4537194444444,-39.0630472222222,NA,Oleada - Vestígios/Esparsos,2925303
Praia de Itapororoca,Porto Seguro,2019-10-31,Bahia,-16.5566055555556,-39.0867527777778,2019-11-04,Oleada - Vestígios/Esparsos,2925303
Trancoso Itapororó,Porto Seguro,2019-10-31,Bahia,-16.6184638888889,-39.0929583333333,2019-11-01,Óleo - Não Observado,2925303
Barra do Jacuípe,Camaçari,2019-10-22,Bahia,-12.7044722222222,-38.1205805555556,2019-11-08,Óleo - Não Observado,2905701
Praia de Jauá,Camaçari,2019-10-18,Bahia,-12.8273388888889,-38.2232055555556,2019-11-08,Óleo - Não Observado,2905701
Praia do Japonês,Camaçari,2019-10-21,Bahia,-12.8397777777778,-38.2347166666667,2019-11-06,Óleo - Não Observado,2905701
Arembepe,Camaçari,2019-10-10,Bahia,-12.7608638888889,-38.1667694444444,2019-11-03,Óleo - Não Observado,2905701
Praia de Itacimirim,Camaçari,2019-10-09,Bahia,-12.6290722222222,-38.0451138888889,2019-11-02,Oleada - Vestígios/Esparsos,2905701
Guarajuba,Camaçari,2019-10-09,Bahia,-12.6483222222222,-38.0610722222222,2019-11-05,Óleo - Não Observado,2905701
Praia do Pontal da Barra,Nova Viçosa,2019-11-03,Bahia,-17.8992361111111,-39.3587138888889,2019-11-08,Óleo - Não Observado,2923001
BA,Prado,2019-11-07,Bahia,-17.3440694444444,-39.2158888888889,2019-11-07,Oleada - Vestígios/Esparsos,2925501
Praia da Barra (Novo Prado),Prado,2019-11-04,Bahia,-17.3352194444444,-39.2179,2019-11-04,Oleada - Manchas,2925501
Praia da Barra (Praia Zeloris),Alcobaça,2019-11-06,Bahia,-17.622475,-39.1812388888889,2019-11-06,Oleada - Vestígios/Esparsos,2900801
Praia de Dona Dinha,Alcobaça,2019-11-06,Bahia,-17.6612305555556,-39.1550666666667,2019-11-06,Oleada - Vestígios/Esparsos,2900801
Praia de Alcobaça (Praia do Centro),Alcobaça,2019-11-02,Bahia,-17.54035,-39.1910666666667,2019-11-04,Óleo - Não Observado,2900801
Praia de Siriba,Ilhéus,2019-10-20,Bahia,-14.9607111111111,-39.0060805555556,2019-11-07,Oleada - Vestígios/Esparsos,2913606
Praia de Olivença,Ilhéus,2019-11-07,Bahia,-14.9433083333333,-39.0117166666667,2019-11-07,Oleada - Vestígios/Esparsos,2913606
Praia de São Miguel,Ilhéus,2019-11-07,Bahia,-14.7657611111111,-39.057375,2019-11-07,Oleada - Vestígios/Esparsos,2913606
Praia do quartel,Ilhéus,2019-11-03,Bahia,-14.7845722222222,-39.0336944444444,NA,Oleada - Vestígios/Esparsos,2913606
Acuípe,Ilhéus,2019-10-22,Bahia,-15.0878166666667,-38.9971777777778,2019-10-28,Oleada - Vestígios/Esparsos,2913606
Praia de Jairí,Ilhéus,2019-10-21,Bahia,-14.9784833333333,-39.0027722222222,2019-11-02,Oleada - Vestígios/Esparsos,2913606
