name,município,data_avist,estado,data_revis,status,latitude,longitude
Muriú,Ceará-Mirim,2019-09-12,RN,2019-11-03,Óleo - Não Observado,-5.51858611111111,-35.2508638888889
Foz do Rio Catu,Canguaretama,2019-09-12,RN,2019-10-25,Oleada - Vestígios/Esparsos,-6.28943611111111,-35.0345805555556
Praia do Giz,Tibau do Sul,2019-09-10,RN,2019-10-30,Oleada - Vestígios/Esparsos,-6.18440277777778,-35.0890638888889
Cotolelo,Parnamirim,2019-09-11,RN,2019-10-28,Oleada - Vestígios/Esparsos,-5.96209444444444,-35.147675
Barreira do Inferno,Parnamirim,2019-09-11,RN,2019-09-23,Óleo - Não Observado,-5.93612777777778,-35.1545055555556
Pirangi do Norte,Parnamirim,2019-09-11,RN,2019-11-01,Oleada - Vestígios/Esparsos,-5.97274722222222,-35.1263194444444
Praia de Coroa do Meio,Aracajú,2019-10-16,SE,2019-11-05,Oleada - Vestígios/Esparsos,-10.9666416666667,-37.0305861111111
Praia do Porto,Barra dos Coqueiros,2019-11-03,SE,2019-11-03,Oleada - Vestígios/Esparsos,-10.8672944444444,-36.9663416666667
Praia de Jatobá,Barra dos Coqueiros,2019-09-24,SE,2019-11-03,Oleada - Vestígios/Esparsos,-10.8038777777778,-36.9113611111111
Praia da Costa,Barra dos Coqueiros,2019-11-03,SE,2019-11-03,Oleada - Vestígios/Esparsos,-10.9034472222222,-36.9942611111111
Dunas (norte),Estância,2019-11-04,SE,2019-11-04,Oleada - Vestígios/Esparsos,-11.3314833333333,-37.2852472222222
Praia Caueira,Itaporanga d'Ajuda,2019-11-04,SE,2019-11-04,Óleo - Não Observado,-11.20775,-37.1925888888889
Dunas (sul),Estância,2019-11-04,SE,2019-11-04,Oleada - Vestígios/Esparsos,-11.3988111111111,-37.3117444444444
Praia de Aruanã,Aracajú,2019-10-15,SE,2019-11-04,Oleada - Vestígios/Esparsos,-11.1071861111111,-37.1287805555556
Praia de Ponta dos Mangues,Pacatuba,2019-09-24,SE,2019-11-03,Oleada - Vestígios/Esparsos,-10.5746222222222,-36.5847
Praia do Pirambu,Pirambu,2019-09-24,SE,2019-11-03,Oleada - Vestígios/Esparsos,-10.7384611111111,-36.8476416666667
Tecarmo,Aracaju,2019-11-03,SE,2019-11-03,Oleada - Vestígios/Esparsos,-11.016175,-37.06795
Mosqueiro,Aracajú,2019-10-16,SE,2019-11-04,Oleada - Vestígios/Esparsos,-11.0464805555556,-37.0886805555556
Praia do Saco (1),Itaporanga d'Ajuda,2019-09-03,SE,2019-11-04,Óleo - Não Observado,-11.3905305555556,-37.3094888888889
Praia do Saco (3),Estância,2019-11-04,SE,2019-11-04,Oleada - Vestígios/Esparsos,-11.4292416666667,-37.3390083333333
